Station ID,Name,Data Source,Latitude,Longitude,Old Province,New Province,Old Amphure,New Amphure,Old Tambon,New Tambon,Formatted Address
1128892,ห้วยยอด,TMD,7.766667,99.633331,สงขลา,ตรัง,เมืองสงขลา,อำเภอ ห้วยยอด,ตำบลห้วยยอด,ห้วยยอด,ห้วยยอด อำเภอ ห้วยยอด ตรัง 92130 ประเทศไทย
1128893,กันตัง,TMD,7.383333,99.550003,สงขลา,ตรัง,เมืองสงขลา,อำเภอ กันตัง,ตำบลวังวน,วังวน,วังวน อำเภอ กันตัง ตรัง ประเทศไทย
1128894,ปะเหลียน,TMD,7.166667,99.699997,สงขลา,ตรัง,เมืองสงขลา,อำเภอ ปะเหลียน,ตำบลท่าข้าม,ท่าข้าม,ท่าข้าม อำเภอ ปะเหลียน ตรัง ประเทศไทย
1128895,สิเกา,TMD,7.566667,99.366669,สงขลา,ตรัง,เมืองสงขลา,อำเภอ สิเกา,ตำบลบ่อหิน,บ่อหิน,บ่อหิน อำเภอ สิเกา ตรัง ประเทศไทย
1128896,ย่านตาขาว,TMD,7.366667,99.699997,สงขลา,ตรัง,เมืองสงขลา,อำเภอ ย่านตาขาว,ตำบลในควน,,อำเภอ ย่านตาขาว ตรัง ประเทศไทย
1128897,สถานีทดลองยางเขาช่อง อ.เมือง,TMD,7.583333,99.849998,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ศรีนครินทร์,ตำบลบ้านนา,บ้านนา,บ้านนา ตำบล บ้านนา อำเภอ ศรีนครินทร์ พัทลุง 93000 ประเทศไทย
1128898,สวนพฤกษศาสตร์เขาช่อง อ.เมือง,TMD,7.55,99.76667,สงขลา,ตรัง,เมืองสงขลา,อำเภอ นาโยง,ตำบลช่อง,ช่อง,ช่อง อำเภอ นาโยง ตรัง ประเทศไทย
1128899,เขตห้ามล่าสัตว์ป่าหมู่เกาะลิบง อ.กันตัง,TMD,7.252778,100.305832,สงขลา,พัทลุง,เมืองสงขลา,อำเภอ ปากพะยูน,ตำบลดอนทราย,ดอนทราย,ดอนทราย อำเภอ ปากพะยูน พัทลุง ประเทศไทย
1128900,วังวิเศษ,TMD,7.733333,99.416664,สงขลา,ตรัง,เมืองสงขลา,อำเภอ วังวิเศษ,ตำบลวังมะปรางเหนือ,วังมะปรางเหนือ,วังมะปรางเหนือ อำเภอ วังวิเศษ ตรัง ประเทศไทย
1128901,นาโยง,TMD,7.55,99.75,สงขลา,ตรัง,เมืองสงขลา,อำเภอ นาโยง,ตำบลละมอ,ละมอ,ละมอ อำเภอ นาโยง ตรัง 92170 ประเทศไทย
